"Measure","Category","Subcategory","Source","Numerator","Denominator","Is Preprocessed","GEOID Column","Weights","Years","Geographic Level","Directionality","Scale","Filename","Date","Race Stratification","Geographically Granular","Race Stratification Not Available","Geographic Boundaries","Measure Description","Is_Numeric","Minimum","Maximum","Missing","Number_Rows","Total_Penalty","Effective_Weights"
"Voter Participation","Social Determinants of Health","Social Capital","ACS/DEC/MIT Election Data Science Lab/NYT/United States Election Data Project","voter_percent_of_population",,FALSE,"zcta",4,"2020","ZCTA",1,100,"voter_participation.csv",2022-01-05 00:00:00,FALSE,TRUE,TRUE,2010,"Percent of individuals who voted in the 2020 election.",TRUE,0,1,217,33574,0.1,3.45415778251599
"Mental Health Treatment Facility Access","Healthcare Access","Treatment Facilities","SAMHSA","A_mh",,FALSE,"tract",5,"2021","Census Tract",1,1,"SAMHSA_CT_treatmentfacilityaccess.csv",2021-12-01 08:47:00,FALSE,TRUE,FALSE,2020,"Spatial accessibility of mental health treatment facilities, weighted by the range of facility offerings available.",TRUE,0,0.000868995053285083,297,85057,0,5
"Substance Use Treatment Facility Access","Healthcare Access","Treatment Facilities","SAMHSA","A_sa",,FALSE,"tract",5,"2021","Census Tract",1,1,"SAMHSA_CT_treatmentfacilityaccess.csv",2021-12-01 08:47:00,FALSE,TRUE,FALSE,2020,"Spatial accessibility of substance use treatment facilities, weighted by the range of facility offerings available.",TRUE,0,0.00112222906694255,297,85057,0,5
"Uninsured","Healthcare Access","Health Insurance","ACS","healthinsurance_nohealthinsurance_pop","healthinsurance_denom_pop",TRUE,"GEOID",5,"2015 - 2019","ZCTA",-1,100,"ACS_API_Data.csv",2021-06-18 12:39:00,TRUE,TRUE,FALSE,2020,"Percent of the civilian non-institutionalized population without health insurance.",TRUE,0,32201,17,33774,0,5
"Adult Binge Drinking","Health Status","Substance Use","PLACES","BINGE_CrudePrev",,FALSE,"ZCTA5",2.5,"2018","ZCTA",-1,1,"PLACES__ZCTA_Data__GIS_Friendly_Format___2022_release.csv",2021-06-28 13:13:00,FALSE,TRUE,TRUE,2010,"Percent of adults reporting binge drinking in the past 30 days (calculated as a crude prevalence).",TRUE,0,40.4,301,33490,0.1,2.49384236453202
"Alcohol-Related Mortality","Health Status","Substance Use","CDC Wonder","alcoholmortality_pop","alcoholmortality_denom_pop",TRUE,"County.Code",2.5,"2010 - 2019","County",-1,1e+05,"CDC_WONDER_County_mortality.csv",2021-05-17 03:30:00,TRUE,FALSE,FALSE,2010,"Number of alcohol related deaths per 100,000 people.",TRUE,4.5,12433,105,3146,0.1,2.49384236453202
"Estimated Drug Poisoning Mortality","Health Status","Substance Use","CDC Wonder","drugpoisoningmortality_pop","drugpoisoningmortality_denom_pop",TRUE,"County.Code",2.5,"2010 - 2019","County",-1,1e+05,"CDC_WONDER_County_mortality.csv",2021-05-17 03:30:00,TRUE,FALSE,FALSE,2010,"Number of deaths per 100,000 people related to drug poisoning.",TRUE,4.5,10130,105,3146,0.1,2.49384236453202
"Insufficient Sleep","Health Status","Other Morbidity & Mortality","PLACES","SLEEP_CrudePrev",,FALSE,"ZCTA5",2.5,"2018","ZCTA",-1,1,"PLACES__ZCTA_Data__GIS_Friendly_Format___2022_release.csv",2021-06-28 13:13:00,FALSE,TRUE,TRUE,2010,"Percent of adults reporting sleeping less than 7 hours on average (calculated as a crude prevalence).",TRUE,0,50.9632829243764,301,33490,0.1,2.49384236453202
"Life Expectancy","Health Status","Other Morbidity & Mortality","CDC NVSS","Life.Expectancy_pop",,TRUE,"Tract.ID",2.5,"2010 - 2015, 2017 - 2019","Census Tract",1,1,"CHR_USALEEP_Life_Expectancy.csv",2021-07-29 09:56:00,TRUE,TRUE,FALSE,2010,"Estimate of life expectancy at birth, in years.",TRUE,0,97.5,7298,78056,0,3.07881773399015
"Obesity","Health Status","Other Morbidity & Mortality","PLACES","OBESITY_CrudePrev",,FALSE,"ZCTA5",2.5,"2018","ZCTA",-1,1,"PLACES__ZCTA_Data__GIS_Friendly_Format___2022_release.csv",2021-06-28 13:13:00,FALSE,TRUE,TRUE,2010,"Percent of adults who have a body mass index ≥30.0 kg/m² (calculated from self-reported weight and height as a crude prevalence).",TRUE,0,58.7418616157562,301,33490,0.1,2.49384236453202
"Poor Mental Health","Health Status","Mental Health","PLACES","MHLTH_CrudePrev",,FALSE,"ZCTA5",2.5,"2018","ZCTA",-1,1,"PLACES__ZCTA_Data__GIS_Friendly_Format___2022_release.csv",2021-06-28 13:13:00,FALSE,TRUE,TRUE,2010,"Percent of adults reporting 14 or more days of poor mental health in the past 30 days (calculated as a crude prevalence).",TRUE,0,29.5011141289089,301,33490,0.1,2.49384236453202
"Smoking Status","Health Status","Substance Use","PLACES","CSMOKING_CrudePrev",,FALSE,"ZCTA5",2.5,"2018","ZCTA",-1,1,"PLACES__ZCTA_Data__GIS_Friendly_Format___2022_release.csv",2021-06-28 13:13:00,FALSE,TRUE,TRUE,2010,"Percent of adults that currently smoke cigarettes (calculated as a crude prevalence).",TRUE,0,46.8310885259282,301,33490,0.1,2.49384236453202
"Suicidal Ideation","Health Status","Mental Health","NSDUH","suicideideation_pop",,TRUE,"census_tract",2.5,"2016 - 2018","Census Tract",-1,100,"NSDUH_CT_suicideideation.csv",2021-06-10 00:00:00,FALSE,FALSE,TRUE,2010,"Percent of the adult population over the age of 18 that experienced serious thoughts of suicide in the last past year.",TRUE,0,0.070629568,991,84363,0.2,1.97044334975369
"Suicide Mortality","Health Status","Mental Health","CDC Wonder","suicidemortality_pop","suicidemortality_denom_pop",TRUE,"County.Code",2.5,"2010 - 2019","County",-1,1e+05,"CDC_WONDER_County_mortality.csv",2021-05-17 03:30:00,TRUE,FALSE,FALSE,2010,"Number of deaths attributed to suicide per 100,000 people.",TRUE,4.5,8385,105,3146,0.1,2.49384236453202
"Below 100% Federal Poverty Level","Social Determinants of Health","Income & Employment","ACS","povertystatus_below100povertylevel_black","povertystatus_denom_black",TRUE,"GEOID",4,"2015 - 2019","ZCTA",-1,100,"ACS_API_Data.csv",2021-06-13 12:39:00,TRUE,TRUE,FALSE,2020,"Percent of individuals below 100% of the federal poverty level.",TRUE,0,3313,17,33774,0,4.26439232409382
"Broadband Access","Social Determinants of Health","Built Environment","ACS","computerinternet_computerandbroadband_black","computerinternet_denom_black",TRUE,"GEOID",4,"2015 - 2019","ZCTA",1,100,"ACS_API_Data.csv",2021-06-19 12:39:00,TRUE,TRUE,FALSE,2020,"Percent of households with a computer and access to broadband internet.",TRUE,0,76891,17,33774,0,4.26439232409382
"Housing Stress","Social Determinants of Health","Housing","HUD","housing_stress_black",,TRUE,"geoid",4,"2013-2017","Census Tract",-1,1,"HUD_CT_housingstress.csv",2021-04-12 13:46:00,TRUE,TRUE,FALSE,2010,"Percent of households experiencing housing stress, as defined by meeting one or more of the following conditions: (1) housing expense/income threshold: monthly housing costs, including utilities, exceed 30% of income, (2) crowding: more household members than rooms, (3) incomplete plumbing: home lacks necessary bathroom facilities, and (4) incomplete kitchen: home lacks essential kitchen facilities.",TRUE,0,100,2117,83237,0,4.26439232409382
"Mortgage Lending Difference","Social Determinants of Health","Financial Access","HMDA","approval_difference_black",,TRUE,"ZCTA",4,"2020","ZCTA",1,1,"HMDA_Mortgage_Approval_2021.csv",2021-08-23 10:53:00,TRUE,TRUE,FALSE,2020,"Difference in percent of mortgage applications accepted between all applicants and minority applicants.",TRUE,-86.5454545454545,84,13935,19856,0,4.26439232409382
"No High School Diploma","Social Determinants of Health","Education Success","ACS","educationalattainment_lessthanhighschool_black","educationalattainment_denom_black",TRUE,"GEOID",4,"2015 - 2019","ZCTA",-1,100,"ACS_API_Data.csv",2021-06-11 12:39:00,TRUE,TRUE,FALSE,2020,"Percent of population age 25 or older without a high school diploma or equivalent.",TRUE,0,7522,17,33774,0,4.26439232409382
"Nursery and Preschool Enrollment","Social Determinants of Health","Education Success","ACS","earlychildhoodeducation_enrolled_black","earlychildhoodeducation_denom_black",TRUE,"GEOID",4,"2015-2019","ZCTA",1,100,"ACS_API_Data.csv",2021-08-02 00:00:00,TRUE,TRUE,FALSE,2020,"Percent of children enrolled in nursery school or pre-school.",TRUE,0,1809,17,33774,0,4.26439232409382
"Police Killings","Social Determinants of Health","Safety & Community Trauma","Mapping Police Violence","policeviolence_harmonicmean_black",,TRUE,"ZCTA",4,"2015 - 2019","ZCTA",-1,10000,"MPV_ZCTA_policeviolence.csv",2021-10-14 00:00:00,TRUE,TRUE,FALSE,2010,"Estimated incidence of police killings per 100,000 people.",TRUE,0,0.0102040816326531,187,33604,0,4.26439232409382
"Residential Segregation","Social Determinants of Health","Housing","ACS","iceabs_numerator_black","ice_denom_black",TRUE,"GEOID",4,"2015 - 2019","ZCTA",-1,1,"ACS_API_Data.csv",2021-06-17 12:39:00,TRUE,TRUE,FALSE,2020,"The Index of Concentration at the Extremes (ICE) is measure of economic and racial/ethnic spatial polarization and proxy for residential segregation, defined as the absolute difference between the percent of the total population that is high-income and majority versus low-income and minority in a population.",TRUE,0,14589,17,33774,0,4.26439232409382
"Unemployment","Social Determinants of Health","Income & Employment","ACS","unemployment_unemployed_black","unemployment_denom_black",TRUE,"GEOID",4,"2015 - 2019","ZCTA",-1,100,"ACS_API_Data.csv",2021-06-10 12:39:00,TRUE,TRUE,FALSE,2020,"Percent of labor force that is unemployed.",TRUE,0,5418,17,33774,0,4.26439232409382
"Uninsured","Healthcare Access","Health Insurance","ACS","healthinsurance_nohealthinsurance_black","healthinsurance_denom_black",TRUE,"GEOID",5,"2015 - 2019","ZCTA",-1,100,"ACS_API_Data.csv",2021-06-18 12:39:00,TRUE,TRUE,FALSE,2020,"Percent of the civilian non-institutionalized population without health insurance.",TRUE,0,10846,17,33774,0,5
"Alcohol-Related Mortality","Health Status","Substance Use","CDC Wonder","alcoholmortality_black","alcoholmortality_denom_black",TRUE,"County.Code",2.5,"2010 - 2019","County",-1,1e+05,"CDC_WONDER_County_mortality.csv",2021-05-17 03:30:00,TRUE,FALSE,FALSE,2010,"Number of alcohol related deaths per 100,000 people.",TRUE,4.5,10744,105,3146,0.1,2.49384236453202
"Estimated Drug Poisoning Mortality","Health Status","Substance Use","CDC Wonder","drugpoisoningmortality_black","drugpoisoningmortality_denom_black",TRUE,"County.Code",2.5,"2010 - 2019","County",-1,1e+05,"CDC_WONDER_County_mortality.csv",2021-05-17 03:30:00,TRUE,FALSE,FALSE,2010,"Number of deaths per 100,000 people related to drug poisoning.",TRUE,4.5,8506,105,3146,0.1,2.49384236453202
"Life Expectancy","Health Status","Other Morbidity & Mortality","CDC NVSS","Life.Expectancy_black",,TRUE,"Tract.ID",2.5,"2010 - 2015, 2017 - 2019","Census Tract",1,1,"CHR_USALEEP_Life_Expectancy.csv",2021-07-29 09:56:00,TRUE,TRUE,FALSE,2010,"Estimate of life expectancy at birth, in years.",TRUE,0,106.601466992665,7298,78056,0,3.07881773399015
"Suicide Mortality","Health Status","Mental Health","CDC Wonder","suicidemortality_black","suicidemortality_denom_black",TRUE,"County.Code",2.5,"2010 - 2019","County",-1,1e+05,"CDC_WONDER_County_mortality.csv",2021-05-17 03:30:00,TRUE,FALSE,FALSE,2010,"Number of deaths attributed to suicide per 100,000 people.",TRUE,4.5,6617,105,3146,0.1,2.49384236453202
